Row.names,Trophoblasts,Stromal,Hofbauer,Endothelial,nRBC,Syncytiotrophoblast,CellType_PC1,CellType_PC2,CellType_PC3,CellType_PC4,CellType_PC5,Sample_Name,sample_id,Predicted_Sex
203541700043_R08C01_PLAC,0,0,0.014546169,0.020778329,0.027114957,0.937560544,-4.64212918,0.897954365,0.41059462,0.348735694,-0.001176161,6015_CRDPL,6015,Male
203541700047_R01C01_PLAC,0.005548406,0,0.004270141,0.032838904,0.015780815,0.941561734,-0.536906416,0.7789214,0.707627238,0.205098757,0.025932146,5041_CRDPL,5041,Male
203541700047_R06C01_PLAC,0.029852684,0,0.002190018,0.005515385,0.019419527,0.943022387,1.244679886,1.099008152,-0.97770817,-0.250576291,0.014632873,5623_CRDPL,5623,Female
203541700047_R07C01_PLAC,0.03598684,0,0,0.01825312,0.022949596,0.922810444,2.544739899,-1.772252333,-0.43514519,0.527574274,0.017057172,5649_CRDPL,5649,Male
203541700050_R02C01_PLAC,0,0,0.002968195,0.003962377,0.010897914,0.982171515,-3.782755734,0.225232056,-0.507044816,-0.731073807,-0.00931814,5295_CRDPL,5295,Female
203541700050_R06C01_PLAC,0.093672075,0,0.001295489,0.013992507,0.0217126,0.869327329,2.386484791,0.695992298,-0.425105721,0.214538624,-0.018933286,5787_CRDPL,5787,Male
203541700050_R08C01_PLAC,0.05215077,0,0.011160186,0.053307901,0.029797457,0.853583687,0.926079083,1.840609296,0.676767516,0.747484339,-0.008328644,5952_CRDPL,5952,Female
203541700052_R03C01_PLAC,0,0,0.00352633,0.011065359,0.02037882,0.96502949,-4.013583802,-0.024050931,-0.050793402,0.032992386,0.003297284,5828_CRDPL,5828,Female
203541700052_R06C01_PLAC,0.063442516,0,0,0.0066906,0.018621675,0.911245209,3.136692703,-1.322670648,-1.135531078,0.039444119,-0.005637034,0268_CRDPL,268,Female
203541700052_R08C01_PLAC,0.106445718,0,0.014737073,0.03050505,0.029697937,0.818614222,1.48243901,2.398573208,0.222808562,0.540793049,-0.040158888,5845_CRDPL,5845,Male
203541700053_R02C01_PLAC,0,0.014929841,0.005862834,0.007983319,0,0.971224006,-3.833549419,-0.110090209,2.249140412,-5.851662599,-3.716930577,5859_crdpl,5859,Male
203541700053_R03C01_PLAC,0,0,0.013251162,0.013581723,0.024603117,0.948563997,-4.567069247,0.955529232,0.122863126,0.136839901,-9.93E-04,5848_CRDPL,5848,Female
203541700053_R06C01_PLAC,0.056606916,0,0.00274994,0.010989702,0.010576577,0.919076864,1.799022128,1.334156933,-0.109329696,-0.419905914,0.00223035,5860_CRDPL,5860,Male
203541700054_R01C01_PLAC,0,0,0,0.010324127,0.017222419,0.972453454,-2.573583441,-2.908534635,-0.33845992,0.170822195,4.31E-04,5891_CRDPL,5891,Male
203541700054_R03C01_PLAC,0,0,0.012443958,0,0.044687763,0.942868279,-4.386829248,2.213056792,-4.111867085,-1.199088318,-0.068416856,5881_CRDPL,5881,Female
203541700054_R07C01_PLAC,0.035320051,0,0,0.021745059,0.001999937,0.940934952,2.953708043,-1.438073866,1.088149438,-1.005024593,-0.004219984,0289_CRDPL,289,Female
203541700059_R01C01_PLAC,0.075518393,0.00830416,0.008420812,0.032144843,0,0.875611792,1.883585794,1.482208106,3.020797607,-5.148623713,-3.300535196,5844_crdpl,5844,Male
203541700059_R03C01_PLAC,0,0,0.012065566,0.032284175,0.020535243,0.935115016,-4.542090405,0.667531401,0.900855507,0.336255678,-0.001027741,5847_CRDPL,5847,Female
203541700059_R05C01_PLAC,0.100592229,0,0,0.058014541,0,0.84139323,4.39328676,-0.947362371,3.569063718,-2.629145084,-0.106734636,5878_crdpl,5878,Male
203541700059_R07C01_PLAC,0.032408227,0,5.99E-06,0.00809343,0.00448266,0.955009688,2.763389406,-1.26273221,-0.129122598,-0.846039732,0.003122265,5846_CRDPL,5846,Female
203541700061_R01C01_PLAC,0.008257826,0,0,0.006022758,0.016652997,0.969066419,1.365194981,-1.751170001,-1.028090147,-0.080775907,0.019668542,5810_CRDPL,5810,Male
203541700061_R03C01_PLAC,0.023928013,0,0,0.001147032,0.013616038,0.961308917,2.4194995,-1.023167045,-2.237236052,-0.781519309,-0.005225171,5072_CRDPL,5072,Female
203541700061_R07C01_PLAC,0,0,0,0.016138847,0.014332615,0.969528538,-2.563629679,-3.004187693,0.117723533,0.208124225,0.002060849,6027_CRDPL,6027,Female
203541700064_R01C01_PLAC,0.027465524,0,0.021332594,0.046554801,0.030642275,0.874004805,0.108910686,2.248255915,0.651739883,0.663327376,0.002845262,6092_CRDPL,6092,Female
203541700064_R03C01_PLAC,0,0,0.00467133,0,0.016602665,0.978726005,-3.833006863,1.575487594,-3.634131487,-1.795327027,-0.059245929,6058_CRDPL,6058,Male
203541700064_R06C01_PLAC,0.059044519,0.008629715,0.009666589,0.064776617,0.007667225,0.850215336,0.780653717,0.620496074,1.081260658,-2.032952571,-3.272175947,5136_crdpl,5136,Female
203541700065_R04C01_PLAC,0,0,0.004821855,0,0.015242973,0.979935172,-3.829838621,1.61441806,-3.582280216,-1.854490722,-0.059672339,6042_CRDPL,6042,Male
203541700065_R06C01_PLAC,0.042327336,0,6.14E-04,0.029970948,0.001479945,0.925607305,2.379535024,0.167271547,1.675900763,-1.225566941,-0.01150517,6094_CRDPL,6094,Female
203541700065_R08C01_PLAC,0.163044758,0,0.001201338,0.007865384,0.023917528,0.803970992,2.92559902,0.934570563,-0.964449155,0.114777359,-0.075908449,5010_CRDPL,5010,Male
203541700068_R01C01_PLAC,0,0,0.003911142,0,0.024628051,0.971460808,-3.83565629,1.371626295,-3.87627261,-1.518770709,-0.058513286,5970_CRDPL,5970,Male
